sector,year,variable,n_facilities,n_available,pct_available
aluminum,2021,activity,3,3,1
aluminum,2022,activity,3,3,1
aluminum,2023,activity,3,3,1
aluminum,2024,activity,3,3,1
aluminum,2025,activity,3,3,1
aluminum,2026,activity,3,3,1
aluminum,2021,capacity,3,3,1
aluminum,2022,capacity,3,3,1
aluminum,2023,capacity,3,3,1
aluminum,2024,capacity,3,3,1
aluminum,2025,capacity,3,3,1
aluminum,2026,capacity,3,3,1
aluminum,2021,capacity_factor,3,3,1
aluminum,2022,capacity_factor,3,3,1
aluminum,2023,capacity_factor,3,3,1
aluminum,2024,capacity_factor,3,3,1
aluminum,2025,capacity_factor,3,3,1
aluminum,2026,capacity_factor,3,3,1
aluminum,2021,emissions_factor,3,3,1
aluminum,2022,emissions_factor,3,3,1
aluminum,2023,emissions_factor,3,3,1
aluminum,2024,emissions_factor,3,3,1
aluminum,2025,emissions_factor,3,3,1
aluminum,2026,emissions_factor,3,3,1
aluminum,2021,emissions_quantity,3,3,1
aluminum,2022,emissions_quantity,3,3,1
aluminum,2023,emissions_quantity,3,3,1
aluminum,2024,emissions_quantity,3,3,1
aluminum,2025,emissions_quantity,3,3,1
aluminum,2026,emissions_quantity,3,3,1
cement,2021,activity,58,58,1
cement,2022,activity,58,58,1
cement,2023,activity,58,58,1
cement,2024,activity,58,58,1
cement,2025,activity,58,58,1
cement,2026,activity,58,58,1
cement,2021,capacity,58,58,1
cement,2022,capacity,58,58,1
cement,2023,capacity,58,58,1
cement,2024,capacity,58,58,1
cement,2025,capacity,58,58,1
cement,2026,capacity,58,58,1
cement,2021,capacity_factor,58,58,1
cement,2022,capacity_factor,58,58,1
cement,2023,capacity_factor,58,58,1
cement,2024,capacity_factor,58,58,1
cement,2025,capacity_factor,58,58,1
cement,2026,capacity_factor,58,58,1
cement,2021,emissions_factor,58,58,1
cement,2022,emissions_factor,58,58,1
cement,2023,emissions_factor,58,58,1
cement,2024,emissions_factor,58,58,1
cement,2025,emissions_factor,58,58,1
cement,2026,emissions_factor,58,58,1
cement,2021,emissions_quantity,58,58,1
cement,2022,emissions_quantity,58,58,1
cement,2023,emissions_quantity,58,58,1
cement,2024,emissions_quantity,58,58,1
cement,2025,emissions_quantity,58,58,1
cement,2026,emissions_quantity,58,58,1
iron-and-steel,2021,activity,27,27,1
iron-and-steel,2022,activity,27,27,1
iron-and-steel,2023,activity,27,27,1
iron-and-steel,2024,activity,27,27,1
iron-and-steel,2025,activity,27,27,1
iron-and-steel,2026,activity,27,27,1
iron-and-steel,2021,capacity,27,27,1
iron-and-steel,2022,capacity,27,27,1
iron-and-steel,2023,capacity,27,27,1
iron-and-steel,2024,capacity,27,27,1
iron-and-steel,2025,capacity,27,27,1
iron-and-steel,2026,capacity,27,27,1
iron-and-steel,2021,capacity_factor,27,27,1
iron-and-steel,2022,capacity_factor,27,27,1
iron-and-steel,2023,capacity_factor,27,27,1
iron-and-steel,2024,capacity_factor,27,27,1
iron-and-steel,2025,capacity_factor,27,27,1
iron-and-steel,2026,capacity_factor,27,27,1
iron-and-steel,2021,emissions_factor,27,27,1
iron-and-steel,2022,emissions_factor,27,27,1
iron-and-steel,2023,emissions_factor,27,27,1
iron-and-steel,2024,emissions_factor,27,27,1
iron-and-steel,2025,emissions_factor,27,27,1
iron-and-steel,2026,emissions_factor,27,27,1
iron-and-steel,2021,emissions_quantity,27,27,1
iron-and-steel,2022,emissions_quantity,27,27,1
iron-and-steel,2023,emissions_quantity,27,27,1
iron-and-steel,2024,emissions_quantity,27,27,1
iron-and-steel,2025,emissions_quantity,27,27,1
iron-and-steel,2026,emissions_quantity,27,27,1
