year,fuel,capacity_gw
2000,Bioenergy,0.08
2000,Coal,6.59
2000,Gas,4.91
2000,Hydro,11.18
2000,Nuclear,0
2000,Other Fossil,0.12
2000,Other Renewables,0
2000,Solar,0
2000,Wind,0.02
2001,Bioenergy,0.08
2001,Coal,6.59
2001,Gas,5.06
2001,Hydro,11.67
2001,Nuclear,0
2001,Other Fossil,0.12
2001,Other Renewables,0
2001,Solar,0
2001,Wind,0.02
2002,Bioenergy,0.08
2002,Coal,6.59
2002,Gas,7.54
2002,Hydro,12.24
2002,Nuclear,0
2002,Other Fossil,0.12
2002,Other Renewables,0
2002,Solar,0
2002,Wind,0.02
2003,Bioenergy,0.08
2003,Coal,8.31
2003,Gas,9.41
2003,Hydro,12.58
2003,Nuclear,0
2003,Other Fossil,0.12
2003,Other Renewables,0
2003,Solar,0
2003,Wind,0.02
2004,Bioenergy,0.08
2004,Coal,8.31
2004,Gas,10.58
2004,Hydro,12.65
2004,Nuclear,0
2004,Other Fossil,0.12
2004,Other Renewables,0
2004,Solar,0
2004,Wind,0.02
2005,Bioenergy,0.08
2005,Coal,8.81
2005,Gas,10.8
2005,Hydro,12.91
2005,Nuclear,0
2005,Other Fossil,0.12
2005,Other Renewables,0
2005,Solar,0
2005,Wind,0.02
2006,Bioenergy,0.09
2006,Coal,9.89
2006,Gas,10.99
2006,Hydro,13.06
2006,Nuclear,0
2006,Other Fossil,0.12
2006,Other Renewables,0
2006,Solar,0
2006,Wind,0.06
2007,Bioenergy,0.09
2007,Coal,9.96
2007,Gas,11.12
2007,Hydro,13.4
2007,Nuclear,0
2007,Other Fossil,0.3
2007,Other Renewables,0
2007,Solar,0
2007,Wind,0.15
2008,Bioenergy,0.1
2008,Coal,9.96
2008,Gas,11.36
2008,Hydro,13.83
2008,Nuclear,0
2008,Other Fossil,0.3
2008,Other Renewables,0
2008,Solar,0
2008,Wind,0.36
2009,Bioenergy,0.1
2009,Coal,10.37
2009,Gas,11.98
2009,Hydro,14.55
2009,Nuclear,0
2009,Other Fossil,0.3
2009,Other Renewables,0
2009,Solar,0
2009,Wind,0.79
2010,Bioenergy,0.12
2010,Coal,11.76
2010,Gas,14.12
2010,Hydro,15.83
2010,Nuclear,0
2010,Other Fossil,0.3
2010,Other Renewables,0
2010,Solar,0.01
2010,Wind,1.32
2011,Bioenergy,0.1
2011,Coal,12.36
2011,Gas,15.56
2011,Hydro,17.14
2011,Nuclear,0
2011,Other Fossil,0.3
2011,Other Renewables,0
2011,Solar,0.01
2011,Wind,1.73
2012,Bioenergy,0.14
2012,Coal,12.36
2012,Gas,15.66
2012,Hydro,19.61
2012,Nuclear,0
2012,Other Fossil,0.3
2012,Other Renewables,0
2012,Solar,0.01
2012,Wind,2.26
2013,Bioenergy,0.17
2013,Coal,12.55
2013,Gas,19.64
2013,Hydro,22.29
2013,Nuclear,0
2013,Other Fossil,0.3
2013,Other Renewables,0
2013,Solar,0.02
2013,Wind,2.76
2014,Bioenergy,0.22
2014,Coal,14.16
2014,Gas,21.62
2014,Hydro,23.64
2014,Nuclear,0
2014,Other Fossil,0.57
2014,Other Renewables,0
2014,Solar,0.04
2014,Wind,3.63
2015,Bioenergy,0.27
2015,Coal,15.3
2015,Gas,21.62
2015,Hydro,25.87
2015,Nuclear,0
2015,Other Fossil,0.57
2015,Other Renewables,0
2015,Solar,0.25
2015,Wind,4.5
2016,Bioenergy,0.36
2016,Coal,17.15
2016,Gas,23.08
2016,Hydro,26.68
2016,Nuclear,0
2016,Other Fossil,0.57
2016,Other Renewables,0
2016,Solar,0.83
2016,Wind,5.75
2017,Bioenergy,0.47
2017,Coal,18.47
2017,Gas,25.69
2017,Hydro,27.27
2017,Nuclear,0
2017,Other Fossil,0.57
2017,Other Renewables,0
2017,Solar,3.42
2017,Wind,6.52
2018,Bioenergy,0.59
2018,Coal,18.8
2018,Gas,26.94
2018,Hydro,28.29
2018,Nuclear,0
2018,Other Fossil,0.57
2018,Other Renewables,0
2018,Solar,5.06
2018,Wind,7.01
2019,Bioenergy,0.78
2019,Coal,19.35
2019,Gas,26.94
2019,Hydro,28.5
2019,Nuclear,0
2019,Other Fossil,0.57
2019,Other Renewables,0
2019,Solar,6
2019,Wind,7.59
2020,Bioenergy,1.1
2020,Coal,19.35
2020,Gas,26.94
2020,Hydro,30.98
2020,Nuclear,0
2020,Other Fossil,0.57
2020,Other Renewables,0
2020,Solar,6.67
2020,Wind,8.83
2021,Bioenergy,1.53
2021,Coal,19.64
2021,Gas,26.94
2021,Hydro,31.49
2021,Nuclear,0
2021,Other Fossil,0.57
2021,Other Renewables,0.05
2021,Solar,7.82
2021,Wind,10.61
2022,Bioenergy,1.81
2022,Coal,21.02
2022,Gas,26.94
2022,Hydro,31.57
2022,Nuclear,0
2022,Other Fossil,0.57
2022,Other Renewables,0.05
2022,Solar,9.43
2022,Wind,11.4
2023,Bioenergy,1.95
2023,Coal,21.02
2023,Gas,26.94
2023,Hydro,31.96
2023,Nuclear,0
2023,Other Fossil,0.57
2023,Other Renewables,0.06
2023,Solar,15.61
2023,Wind,11.81
2024,Bioenergy,1.99
2024,Coal,21.02
2024,Gas,26.94
2024,Hydro,32.2
2024,Nuclear,0
2024,Other Fossil,0.57
2024,Other Renewables,0.06
2024,Solar,20.23
2024,Wind,12.87
2025,Bioenergy,1.99
2025,Coal,21.02
2025,Gas,26.94
2025,Hydro,32.29
2025,Nuclear,0
2025,Other Fossil,0.57
2025,Other Renewables,0.01
2025,Solar,25.47
2025,Wind,14.78
