year,total_gw,renewable_gw,fossil_gw,bioenergy_gw,nuclear_gw
2000,22.9,11.2,11.62,0.08,0
2001,23.54,11.69,11.77,0.08,0
2002,26.59,12.26,14.25,0.08,0
2003,30.52,12.6,17.84,0.08,0
2004,31.76,12.67,19.01,0.08,0
2005,32.74,12.93,19.73,0.08,0
2006,34.21,13.120000000000001,21,0.09,0
2007,35.02,13.55,21.38,0.09,0
2008,35.910000000000004,14.19,21.62,0.1,0
2009,38.09,15.34,22.65,0.1,0
2010,43.46,17.16,26.18,0.12,0
2011,47.2,18.88,28.22,0.1,0
2012,50.339999999999996,21.88,28.32,0.14,0
2013,57.73,25.07,32.49,0.17,0
2014,63.88,27.31,36.35,0.22,0
2015,68.38000000000001,30.62,37.49,0.27,0
2016,74.42,33.26,40.8,0.36,0
2017,82.41,37.21,44.73,0.47,0
2018,87.26,40.36,46.31,0.59,0
2019,89.73,42.09,46.86,0.78,0
2020,94.44,46.480000000000004,46.86,1.1,0
2021,98.65,49.97,47.15,1.53,0
2022,102.79,52.45,48.53,1.81,0
2023,109.92,59.44,48.53,1.95,0
2024,115.88000000000001,65.36,48.53,1.99,0
2025,123.07,72.55,48.53,1.99,0
