year,fuel,generation_twh
2000,Bioenergy,0.17
2000,Coal,38.19
2000,Gas,46.54
2000,Hydro,30.88
2000,Nuclear,0
2000,Other Fossil,8.49
2000,Other Renewables,0.08
2000,Solar,0
2000,Wind,0.03
2001,Bioenergy,0.18
2001,Coal,38.42
2001,Gas,49.71
2001,Hydro,24.01
2001,Nuclear,0
2001,Other Fossil,9.77
2001,Other Renewables,0.09
2001,Solar,0
2001,Wind,0.06
2002,Bioenergy,0.13
2002,Coal,32.15
2002,Gas,52.53
2002,Hydro,33.68
2002,Nuclear,0
2002,Other Fossil,9.82
2002,Other Renewables,0.1
2002,Solar,0
2002,Wind,0.05
2003,Bioenergy,0.08
2003,Coal,32.25
2003,Gas,63.54
2003,Hydro,35.33
2003,Nuclear,0
2003,Other Fossil,8.19
2003,Other Renewables,0.09
2003,Solar,0
2003,Wind,0.06
2004,Bioenergy,0.08
2004,Coal,34.45
2004,Gas,62.27
2004,Hydro,46.08
2004,Nuclear,0
2004,Other Fossil,6.72
2004,Other Renewables,0.09
2004,Solar,0
2004,Wind,0.06
2005,Bioenergy,0.03
2005,Coal,43.2
2005,Gas,73.48
2005,Hydro,39.56
2005,Nuclear,0
2005,Other Fossil,5.21
2005,Other Renewables,0.09
2005,Solar,0
2005,Wind,0.06
2006,Bioenergy,0.06
2006,Coal,46.65
2006,Gas,80.69
2006,Hydro,44.24
2006,Nuclear,0
2006,Other Fossil,4.39
2006,Other Renewables,0.09
2006,Solar,0
2006,Wind,0.13
2007,Bioenergy,0.09
2007,Coal,53.43
2007,Gas,95.03
2007,Hydro,35.85
2007,Nuclear,0
2007,Other Fossil,6.6
2007,Other Renewables,0.16
2007,Solar,0
2007,Wind,0.36
2008,Bioenergy,0.14
2008,Coal,57.72
2008,Gas,98.68
2008,Hydro,33.27
2008,Nuclear,0
2008,Other Fossil,7.55
2008,Other Renewables,0.16
2008,Solar,0
2008,Wind,0.85
2009,Bioenergy,0.25
2009,Coal,55.69
2009,Gas,96.1
2009,Hydro,35.96
2009,Nuclear,0
2009,Other Fossil,4.87
2009,Other Renewables,0.44
2009,Solar,0
2009,Wind,1.5
2010,Bioenergy,0.33
2010,Coal,55.05
2010,Gas,98.14
2010,Hydro,51.8
2010,Nuclear,0
2010,Other Fossil,2.27
2010,Other Renewables,0.67
2010,Solar,0
2010,Wind,2.92
2011,Bioenergy,0.34
2011,Coal,66.22
2011,Gas,104.05
2011,Hydro,52.34
2011,Nuclear,0
2011,Other Fossil,1.03
