sector,year,eu_import_t,eu_import_eur,n_codes,n_missing,production_t,naive_ratio,value_type,caveat
aluminum,2021,689255.902,2469992163,1,0,247372.68138148193,2.7863056589384447,diagnostic_not_for_use,Numerator is finished-goods trade under PROVISIONAL aggregate customs codes; denominator is crude production. Not a valid export share.
aluminum,2022,807573.6150000001,3846325872,1,0,241821.55644189226,3.339543533183955,diagnostic_not_for_use,Numerator is finished-goods trade under PROVISIONAL aggregate customs codes; denominator is crude production. Not a valid export share.
aluminum,2023,663556.206,2846624711,1,0,234399.18925277697,2.8308809775123347,diagnostic_not_for_use,Numerator is finished-goods trade under PROVISIONAL aggregate customs codes; denominator is crude production. Not a valid export share.
aluminum,2024,693165.4940000001,2739038459,1,0,238341.48530730442,2.908287212804227,diagnostic_not_for_use,Numerator is finished-goods trade under PROVISIONAL aggregate customs codes; denominator is crude production. Not a valid export share.
aluminum,2025,723847.5650000001,2941530594,1,0,235332.57485546477,3.0758494247749963,diagnostic_not_for_use,Numerator is finished-goods trade under PROVISIONAL aggregate customs codes; denominator is crude production. Not a valid export share.
cement,2021,4291837.6110000005,249830539,1,0,52373776.28292411,0.0819463081641357,diagnostic_not_for_use,Numerator is finished-goods trade under PROVISIONAL aggregate customs codes; denominator is crude production. Not a valid export share.
cement,2022,4440789.66,325803078,1,0,67233849.01799165,0.06604990975322049,diagnostic_not_for_use,Numerator is finished-goods trade under PROVISIONAL aggregate customs codes; denominator is crude production. Not a valid export share.
cement,2023,3321609.7190000005,266573393,1,0,69427764.0590759,0.04784267164608169,diagnostic_not_for_use,Numerator is finished-goods trade under PROVISIONAL aggregate customs codes; denominator is crude production. Not a valid export share.
cement,2024,4425528.658,328143292,1,0,67208025.81769289,0.06584821684845495,diagnostic_not_for_use,Numerator is finished-goods trade under PROVISIONAL aggregate customs codes; denominator is crude production. Not a valid export share.
cement,2025,6116889.495000001,436604539,1,0,63489206.46713828,0.09634534490781634,diagnostic_not_for_use,Numerator is finished-goods trade under PROVISIONAL aggregate customs codes; denominator is crude production. Not a valid export share.
iron-and-steel,2021,6782792.924000001,6897264014,14,0,40298262.03812543,0.16831477540105644,diagnostic_not_for_use,Numerator is finished-goods trade under PROVISIONAL aggregate customs codes; denominator is crude production. Not a valid export share.
iron-and-steel,2022,6818670.32,9214336105,14,0,35073661.570083864,0.19440999356098013,diagnostic_not_for_use,Numerator is finished-goods trade under PROVISIONAL aggregate customs codes; denominator is crude production. Not a valid export share.
iron-and-steel,2023,4711366.669,6493831671,14,0,33696132.4915092,0.13981921130524924,diagnostic_not_for_use,Numerator is finished-goods trade under PROVISIONAL aggregate customs codes; denominator is crude production. Not a valid export share.
iron-and-steel,2024,6546607.313,7128242452,14,0,36991760.5470999,0.1769747429205081,diagnostic_not_for_use,Numerator is finished-goods trade under PROVISIONAL aggregate customs codes; denominator is crude production. Not a valid export share.
iron-and-steel,2025,7590990.765000001,7314883341,14,0,38311522.549171425,0.1981385823353077,diagnostic_not_for_use,Numerator is finished-goods trade under PROVISIONAL aggregate customs codes; denominator is crude production. Not a valid export share.
