sector,year,eu_import_t,eu_import_eur,n_codes,n_missing
aluminum,2021,689255.902,2469992163,1,0
aluminum,2022,807573.6150000001,3846325872,1,0
aluminum,2023,663556.206,2846624711,1,0
aluminum,2024,693165.4940000001,2739038459,1,0
aluminum,2025,723847.5650000001,2941530594,1,0
cement,2021,4291837.6110000005,249830539,1,0
cement,2022,4440789.66,325803078,1,0
cement,2023,3321609.7190000005,266573393,1,0
cement,2024,4425528.658,328143292,1,0
cement,2025,6116889.495000001,436604539,1,0
iron-and-steel,2021,6782792.924000001,6897264014,14,0
iron-and-steel,2022,6818670.32,9214336105,14,0
iron-and-steel,2023,4711366.669,6493831671,14,0
iron-and-steel,2024,6546607.313,7128242452,14,0
iron-and-steel,2025,7590990.765000001,7314883341,14,0
