facility_id,facility_name_tr,sector,lat,lon,province_code,province_name_tr,nuts2_code,boundary_distance_m,snap_distance_m,geocode_quality
CT3144142,Tupras Izmit Refinery,oil-and-gas-refining,40.75063,29.77044,41,Kocaeli,TR42,18,NA,boundary_proximate
CT1897887,Körfez Cement Plant,cement,40.7820049734054,29.6018683802237,41,Kocaeli,TR42,51,NA,boundary_proximate
CT1567074,Koc Metallurgical Toprakkale steel plant,iron-and-steel,37.0140274095328,36.1063625862528,31,Hatay,TR63,129,NA,boundary_proximate
CT25454040,Bilgin Samsun gas power station,electricity-generation,41.1454,37.1564,52,Ordu,TR90,160,NA,boundary_proximate
CT4401591,Aksa Akrilik power station,electricity-generation,40.6911,29.4056,77,Yalova,TR42,258,NA,boundary_proximate
CT25454795,Atlas Enerji İskenderun power station,electricity-generation,36.6903,36.2091,31,Hatay,TR63,269,NA,boundary_proximate
CT49701831,Nuh Çimento power station,electricity-generation,40.7845,29.6072,41,Kocaeli,TR42,310,NA,boundary_proximate
CT1567082,Yesilyurt Iron and Steel Tekkekoy plant,iron-and-steel,41.2403516954097,36.4404842723864,55,Samsun,TR83,347,NA,boundary_proximate
CT16345,Aegean Lignite Coal Mines,coal-mining,39.083006,27.539574000000002,35,İzmir,TR31,357,NA,boundary_proximate
CT16358,Karacaören Coal Mine,coal-mining,38.800585,30.096683,3,Afyonkarahisar,TR33,390,NA,boundary_proximate
CT449567,Ambarlı B power station,electricity-generation,40.9793,28.6994,34,İstanbul,TR10,398,NA,boundary_proximate
CT448836,Petkim power station,electricity-generation,38.7872,26.9367,35,İzmir,TR31,410,NA,boundary_proximate
CT49701805,Silivri Seymen power station,electricity-generation,41.2191,28.1561,34,İstanbul,TR10,446,NA,boundary_proximate
CT718982,Izmir Refinery power station,electricity-generation,38.8054,26.9409,35,İzmir,TR31,451,NA,boundary_proximate
CT448091,Karadeniz Ereğli Zonguldak power station,electricity-generation,41.2615,31.4201,67,Zonguldak,TR81,459,NA,boundary_proximate
CT1567189,Toscelik Iskenderun steel plant,iron-and-steel,36.6865157946304,36.2136191348841,31,Hatay,TR63,470,NA,boundary_proximate
CT1567064,Diler Iron and Steel Dilovasi plant,iron-and-steel,40.7839434675694,29.5330798467728,41,Kocaeli,TR42,505,NA,boundary_proximate
CT3144143,STAR Aliaga Oil Refinery,oil-and-gas-refining,38.8106,26.9372,35,İzmir,TR31,518,NA,boundary_proximate
CT32439191,Büyükçekmece Cement Plant,cement,41.0222474864885,28.5558084041902,34,İstanbul,TR10,520,NA,boundary_proximate
CT1567083,Tosyali Toprakkale steel plant,iron-and-steel,37.0188279969216,36.0940099999736,80,Osmaniye,TR63,533,NA,boundary_proximate
CT1567076,MMK Türkiye Metallurgical Payas steel plant,iron-and-steel,36.7814103000801,36.2056452039363,31,Hatay,TR63,536,NA,boundary_proximate
CT25453969,ZETES power stations,electricity-generation,41.5075,31.8949,67,Zonguldak,TR81,568,NA,boundary_proximate
CT1567080,Toscelik Toprakkale steel plant,iron-and-steel,37.0197246117158,36.1101864309013,80,Osmaniye,TR63,572,NA,boundary_proximate
CT1897902,Soma Manisa Cement Plant,cement,39.1819839914652,27.49986261921,45,Manisa,TR33,596,NA,boundary_proximate
CT448342,IZMIT REFINERY,electricity-generation,40.7607,29.7637,41,Kocaeli,TR42,640,NA,boundary_proximate
CT1567071,Isdemir Payas steel plant,iron-and-steel,36.735732350892,36.2094834824266,31,Hatay,TR63,651,NA,boundary_proximate
CT25455161,Cenal power station,electricity-generation,40.4167,27.3183,17,Çanakkale,TR22,698,NA,boundary_proximate
CT25454377,Cengiz Enerji Samsun CCPP power station,electricity-generation,41.2393,36.4799,55,Samsun,TR83,704,NA,boundary_proximate
CT452073,Yesilyurt power station,electricity-generation,41.2363,36.4416,55,Samsun,TR83,726,NA,boundary_proximate
CT25452373,EÜAS Hopa Termik Sant. Artvin,electricity-generation,41.4193,41.4393,8,Artvin,TR90,759,NA,boundary_proximate
CT451710,Erzin power station,electricity-generation,36.9271,36.0534,31,Hatay,TR63,817,NA,boundary_proximate
CT449568,Ambarlı A power station,electricity-generation,40.9823,28.6904,34,İstanbul,TR10,826,NA,boundary_proximate
CT43160124,Amasra Coal Mine,coal-mining,41.721848,32.349063,74,Bartın,TR81,831,NA,boundary_proximate
CT56162428,Amasra B Coal Mine,coal-mining,41.721848,32.349063,74,Bartın,TR81,831,NA,boundary_proximate
CT25452557,İsken Sugözü power station,electricity-generation,36.835,35.8791,1,Adana,TR62,839,NA,boundary_proximate
CT712776,Tupras Izmir Refinery,oil-and-gas-refining,38.802286,26.93823,35,İzmir,TR31,868,NA,boundary_proximate
CT451198,Bandırma power station,electricity-generation,40.3084,27.7686,10,Balıkesir,TR22,873,NA,boundary_proximate
CT1567067,Erdemir Eregli steel plant,iron-and-steel,41.261467963656,31.4258724870855,67,Zonguldak,TR81,915,NA,boundary_proximate
CT25452375,Kemerköy power station,electricity-generation,37.0354,27.9006,48,Muğla,TR32,923,NA,boundary_proximate
CT49701843,Mavibayrak Doğu power station,electricity-generation,41.0222,28.9769,34,İstanbul,TR10,967,NA,boundary_proximate
CT449566,Aliaga EUAS power station,electricity-generation,38.7987,26.945,35,İzmir,TR31,1076,NA,boundary_proximate
CT25454026,İÇDAŞ Biga power station,electricity-generation,40.4438,27.1307,17,Çanakkale,TR22,1077,NA,boundary_proximate
CT1567069,İÇDAŞ Biga steel plant,iron-and-steel,40.4431217826032,27.1378719691625,17,Çanakkale,TR22,1180,NA,boundary_proximate
CT32439216,Sarımazı Cement Plant,cement,36.9330102756753,36.0039876388797,31,Hatay,TR63,1209,NA,boundary_proximate
CT53059163,Turkey_Northern Aegean_Conventional onshore,oil-and-gas-production,40.54342248,26.86762948,17,Çanakkale,TR22,1285,NA,boundary_proximate
CT53060006,Turkey_Northern Aegean_Conventional onshore,oil-and-gas-transport,40.54342248,26.86762948,17,Çanakkale,TR22,1285,NA,boundary_proximate
CT49701835,Mosbio power station,electricity-generation,38.6162,27.3442,45,Manisa,TR33,1345,NA,boundary_proximate
CT49701825,Medcem Çimento power station,electricity-generation,36.8266,34.6941,33,Mersin,TR62,1356,NA,boundary_proximate
CT4404130,Hereke Cement Works power station,electricity-generation,40.7937,29.5938,41,Kocaeli,TR42,1378,NA,boundary_proximate
CT449972,Manisa OSB cogeneration power station,electricity-generation,38.6169,27.344,45,Manisa,TR33,1392,NA,boundary_proximate
CT1567072,Kaptan Ereglisi steel plant,iron-and-steel,41.0152185914845,27.9598477255557,59,Tekirdağ,TR21,1422,NA,boundary_proximate
CT16360,Kozlu Coal Mine,coal-mining,41.432342,31.75826,67,Zonguldak,TR81,1432,NA,boundary_proximate
CT32439210,Ünye Ordu Cement Plant,cement,41.1079404660109,37.3242468358019,52,Ordu,TR90,1484,NA,boundary_proximate
CT717931,İzdemir Enerji power station,electricity-generation,38.7417,26.9292,35,İzmir,TR31,1499,NA,boundary_proximate
CT16350,Armutcuk Coal Mine,coal-mining,41.34012,31.510875,67,Zonguldak,TR81,1528,NA,boundary_proximate
CT1567070,İDÇ Izdemir Aliaga steel plant,iron-and-steel,38.7400416920799,26.9290116293903,35,İzmir,TR31,1684,NA,boundary_proximate
CT449791,Cigli Ataer power station,electricity-generation,38.478,27.0327,35,İzmir,TR31,1694,NA,boundary_proximate
CT1567068,Habas Aliaga steel plant,iron-and-steel,38.7507940801235,26.9503193645367,35,İzmir,TR31,1708,NA,boundary_proximate
CT16359,Karadon Coal Mine,coal-mining,41.483081,31.868239,67,Zonguldak,TR81,1834,NA,boundary_proximate
CT452963,Tekirdag CHP power station,electricity-generation,41.0006,27.5054,59,Tekirdağ,TR21,1895,NA,boundary_proximate
CT53059166,Turkey_Thrace_Conventional onshore,oil-and-gas-production,41.24914506,27.40962891,59,Tekirdağ,TR21,1961,NA,boundary_proximate
CT53060009,Turkey_Thrace_Conventional onshore,oil-and-gas-transport,41.24914506,27.40962891,59,Tekirdağ,TR21,1961,NA,boundary_proximate
CT452505,Aliaga Habas power station,electricity-generation,38.7419,26.9465,35,İzmir,TR31,1964,NA,boundary_proximate
CT49701822,Toros Tarım power station,electricity-generation,41.2235,36.4596,55,Samsun,TR83,1997,NA,boundary_proximate
CT53059164,Turkey_Pontides_Conventional shelf,oil-and-gas-production,41.19344049,31.16583402,81,Düzce,TR42,10926,10926,offshore
CT53060007,Turkey_Pontides_Conventional shelf,oil-and-gas-transport,41.19344049,31.16583402,81,Düzce,TR42,10926,10926,offshore
CT53059162,Turkey_Black Sea_Deepwater,oil-and-gas-production,42.94337058,31.2936596,74,Bartın,TR81,157648,157648,offshore
CT53060005,Turkey_Black Sea_Deepwater,oil-and-gas-transport,42.94337058,31.2936596,74,Bartın,TR81,157648,157648,offshore
CT449593,Tekirdağ A power station,electricity-generation,41.0072,27.9736,59,Tekirdağ,TR21,27,27,snapped_to_nearest
CT25455417,EMBA Hunutlu power station,electricity-generation,36.8161,35.8548,1,Adana,TR62,30,30,snapped_to_nearest
CT1567066,Ekinciler Iron and Steel Iskenderun plant,iron-and-steel,36.6908852919788,36.2048446538149,31,Hatay,TR63,75,75,snapped_to_nearest
CT1567081,Yazici Iron and Steel Iskenderun plant,iron-and-steel,36.6856423936233,36.2071282983028,31,Hatay,TR63,96,96,snapped_to_nearest
CT25450485,Gebze Çolakoğlu power station,electricity-generation,40.7776,29.5386,41,Kocaeli,TR42,219,219,snapped_to_nearest
CT49534269,Çolakoğlu-1 power station,electricity-generation,40.7774,29.5321,41,Kocaeli,TR42,219,219,snapped_to_nearest
CT25455299,Çatalağzı power station,electricity-generation,41.5174,31.9002,67,Zonguldak,TR81,224,224,snapped_to_nearest
CT450952,Gebze Dilovasi power station,electricity-generation,40.7773,29.5333,41,Kocaeli,TR42,234,234,snapped_to_nearest
CT1897889,Aslan Darıca Cement Plant,cement,40.7589222000772,29.3611229444017,41,Kocaeli,TR42,240,240,snapped_to_nearest
CT25453664,Mersin Camis power station,electricity-generation,36.8145,34.735,33,Mersin,TR62,733,733,snapped_to_nearest
CT448080,Tekirdağ B power station,electricity-generation,40.9974,27.9796,59,Tekirdağ,TR21,1026,1026,snapped_to_nearest
CT1567063,Colakoglu Metallurgical Dilovasi steel plant,iron-and-steel,40.7695296150915,29.530363436516,41,Kocaeli,TR42,1087,1087,snapped_to_nearest
CT1567190,Aba Iron and Steel Payas plant,iron-and-steel,36.7486638639711,36.2258341220088,31,Hatay,TR63,2097,NA,within_province
CT49701845,Bandırma (Eti Maden) power station,electricity-generation,40.3491,27.9728,10,Balıkesir,TR22,2100,NA,within_province
CT1567078,Ozkan Iron and Steel Aliaga plant,iron-and-steel,38.7376046992084,26.942784337747,35,İzmir,TR31,2179,NA,within_province
CT57023784,IZMIT KARTONSAN,electricity-generation,40.7298,29.9652,41,Kocaeli,TR42,2259,NA,within_province
CT449887,Enka İzmir power station,electricity-generation,38.7467,26.9563,35,İzmir,TR31,2351,NA,within_province
CT1897849,ASCim Korkuteli Cement Plant,cement,37.2536746098047,30.4444316176981,15,Burdur,TR61,2470,NA,within_province
CT1567085,Cebitas steel plant,iron-and-steel,38.7396881061245,26.9519644023287,35,İzmir,TR31,2471,NA,within_province
CT32439194,Pazarcık Cement Plant,cement,37.2938679776202,37.157814695598,27,Gaziantep,TRC1,2496,NA,within_province
