group,year,added_mw,added_n,cum_mw,cum_n,undated_n,ember_total_gw,ember_renewable_gw,ember_fossil_gw
ct_combustion,2000,10556.79,22,10556.79,22,65,22.9,11.2,11.62
ct_combustion,2001,120,1,10676.79,23,65,23.54,11.69,11.77
ct_combustion,2002,0,0,10676.79,23,65,26.59,12.26,14.25
ct_combustion,2003,3269,5,13945.79,28,65,30.52,12.6,17.84
ct_combustion,2004,844.13,2,14789.92,30,65,31.76,12.67,19.01
ct_combustion,2005,1819.12,3,16609.04,33,65,32.74,12.93,19.73
ct_combustion,2006,250,1,16859.04,34,65,34.21,13.12,21
ct_combustion,2007,182,1,17041.04,35,65,35.02,13.55,21.38
ct_combustion,2008,0,0,17041.04,35,65,35.910000000000004,14.19,21.62
ct_combustion,2009,1548,4,18589.04,39,65,38.09,15.34,22.65
ct_combustion,2010,5371.506666666667,9,23960.54666666667,48,65,43.46,17.16,26.18
ct_combustion,2011,371.4,3,24331.946666666667,51,65,47.2,18.88,28.22
ct_combustion,2012,116,2,24447.946666666667,53,65,50.34,21.88,28.32
ct_combustion,2013,4173.45,11,28621.396666666667,64,65,57.73,25.07,32.49
ct_combustion,2014,2800.44,8,31421.836666666666,72,65,63.88,27.31,36.35
ct_combustion,2015,270,1,31691.836666666666,73,65,68.38000000000001,30.62,37.49
ct_combustion,2016,1290,2,32981.83666666667,75,65,74.42,33.26,40.8
ct_combustion,2017,2625,3,35606.83666666667,78,65,82.41,37.21,44.73
ct_combustion,2018,1842,3,37448.83666666667,81,65,87.26,40.36,46.31
ct_combustion,2019,614.81,5,38063.64666666667,86,65,89.73,42.09,46.86
ct_combustion,2020,13.6,1,38077.246666666666,87,65,94.44,46.48,46.86
ct_combustion,2021,195,3,38272.246666666666,90,65,98.65,49.97,47.15
ct_combustion,2022,0,2,38272.246666666666,92,65,102.79,52.45,48.53
ct_combustion,2023,0,0,38272.246666666666,92,65,109.92,59.44,48.53
ct_combustion,2024,0,0,38272.246666666666,92,65,115.88,65.36,48.53
ct_combustion,2025,0,0,38272.246666666666,92,65,123.07,72.55,48.53
ct_combustion,2026,0,0,38272.246666666666,92,65,NA,NA,NA
energy_other,2000,NA,21,NA,21,22,22.9,11.2,11.62
energy_other,2001,NA,0,NA,21,22,23.54,11.69,11.77
energy_other,2002,NA,0,NA,21,22,26.59,12.26,14.25
energy_other,2003,NA,0,NA,21,22,30.52,12.6,17.84
energy_other,2004,NA,0,NA,21,22,31.76,12.67,19.01
energy_other,2005,NA,1,NA,22,22,32.74,12.93,19.73
energy_other,2006,NA,0,NA,22,22,34.21,13.12,21
energy_other,2007,NA,0,NA,22,22,35.02,13.55,21.38
energy_other,2008,NA,1,NA,23,22,35.910000000000004,14.19,21.62
energy_other,2009,NA,1,NA,24,22,38.09,15.34,22.65
energy_other,2010,NA,0,NA,24,22,43.46,17.16,26.18
energy_other,2011,NA,0,NA,24,22,47.2,18.88,28.22
energy_other,2012,NA,1,NA,25,22,50.34,21.88,28.32
energy_other,2013,NA,2,NA,27,22,57.73,25.07,32.49
energy_other,2014,NA,2,NA,29,22,63.88,27.31,36.35
energy_other,2015,NA,1,NA,30,22,68.38000000000001,30.62,37.49
energy_other,2016,NA,2,NA,32,22,74.42,33.26,40.8
energy_other,2017,NA,0,NA,32,22,82.41,37.21,44.73
energy_other,2018,NA,0,NA,32,22,87.26,40.36,46.31
energy_other,2019,NA,1,NA,33,22,89.73,42.09,46.86
energy_other,2020,NA,0,NA,33,22,94.44,46.48,46.86
energy_other,2021,NA,0,NA,33,22,98.65,49.97,47.15
energy_other,2022,NA,0,NA,33,22,102.79,52.45,48.53
energy_other,2023,NA,0,NA,33,22,109.92,59.44,48.53
energy_other,2024,NA,0,NA,33,22,115.88,65.36,48.53
energy_other,2025,NA,0,NA,33,22,123.07,72.55,48.53
energy_other,2026,NA,0,NA,33,22,NA,NA,NA
industrial,2000,NA,49,NA,49,16,22.9,11.2,11.62
industrial,2001,NA,1,NA,50,16,23.54,11.69,11.77
industrial,2002,NA,1,NA,51,16,26.59,12.26,14.25
industrial,2003,NA,0,NA,51,16,30.52,12.6,17.84
industrial,2004,NA,0,NA,51,16,31.76,12.67,19.01
industrial,2005,NA,1,NA,52,16,32.74,12.93,19.73
industrial,2006,NA,0,NA,52,16,34.21,13.12,21
industrial,2007,NA,0,NA,52,16,35.02,13.55,21.38
industrial,2008,NA,4,NA,56,16,35.910000000000004,14.19,21.62
industrial,2009,NA,1,NA,57,16,38.09,15.34,22.65
industrial,2010,NA,3,NA,60,16,43.46,17.16,26.18
industrial,2011,NA,1,NA,61,16,47.2,18.88,28.22
industrial,2012,NA,1,NA,62,16,50.34,21.88,28.32
industrial,2013,NA,1,NA,63,16,57.73,25.07,32.49
industrial,2014,NA,1,NA,64,16,63.88,27.31,36.35
industrial,2015,NA,2,NA,66,16,68.38000000000001,30.62,37.49
industrial,2016,NA,1,NA,67,16,74.42,33.26,40.8
industrial,2017,NA,0,NA,67,16,82.41,37.21,44.73
industrial,2018,NA,0,NA,67,16,87.26,40.36,46.31
industrial,2019,NA,1,NA,68,16,89.73,42.09,46.86
industrial,2020,NA,2,NA,70,16,94.44,46.48,46.86
industrial,2021,NA,0,NA,70,16,98.65,49.97,47.15
industrial,2022,NA,1,NA,71,16,102.79,52.45,48.53
industrial,2023,NA,1,NA,72,16,109.92,59.44,48.53
industrial,2024,NA,0,NA,72,16,115.88,65.36,48.53
industrial,2025,NA,0,NA,72,16,123.07,72.55,48.53
industrial,2026,NA,0,NA,72,16,NA,NA,NA
renewable,2000,10429,38,10429,38,233,22.9,11.2,11.62
renewable,2001,672,1,11101,39,233,23.54,11.69,11.77
renewable,2002,553,2,11654,41,233,26.59,12.26,14.25
renewable,2003,198,1,11852,42,233,30.52,12.6,17.84
renewable,2004,49,1,11901,43,233,31.76,12.67,19.01
renewable,2005,394,4,12295,47,233,32.74,12.93,19.73
renewable,2006,265.3,5,12560.3,52,233,34.21,13.12,21
renewable,2007,807.9,6,13368.2,58,233,35.02,13.55,21.38
renewable,2008,737.5,13,14105.7,71,233,35.910000000000004,14.19,21.62
renewable,2009,1712.5,20,15818.2,91,233,38.09,15.34,22.65
renewable,2010,1024.7,18,16842.9,109,233,43.46,17.16,26.18
renewable,2011,1399.5,20,18242.4,129,233,47.2,18.88,28.22
renewable,2012,2519.3,29,20761.7,158,233,50.34,21.88,28.32
renewable,2013,3038.3,31,23800,189,233,57.73,25.07,32.49
renewable,2014,1800.9,30,25600.9,219,233,63.88,27.31,36.35
renewable,2015,2747.8,39,28348.7,258,233,68.38000000000001,30.62,37.49
renewable,2016,1871.7,48,30220.4,306,233,74.42,33.26,40.8
renewable,2017,4374.1,615,34594.5,921,233,82.41,37.21,44.73
renewable,2018,3753.46,421,38347.96,1342,233,87.26,40.36,46.31
renewable,2019,1638.6,185,39986.56,1527,233,89.73,42.09,46.86
renewable,2020,4487.2,146,44473.76,1673,233,94.44,46.48,46.86
renewable,2021,2630.2,96,47103.96,1769,233,98.65,49.97,47.15
renewable,2022,796.5,127,47900.46,1896,233,102.79,52.45,48.53
renewable,2023,3860,638,51760.46,2534,233,109.92,59.44,48.53
renewable,2024,2293.6,312,54054.06,2846,233,115.88,65.36,48.53
renewable,2025,487.8,57,54541.86,2903,233,123.07,72.55,48.53
renewable,2026,0,0,54541.86,2903,233,NA,NA,NA
