gem_tracker,gem_source_file,asset_group,gem_id,location_id,name,unit,capacity_mw,status,start_year,retired_year,fuel_type,technology,fuel_detail,captive_type,captive_use,is_captive,operator,owner,lat,lon,province_gem,ch4_reported,cmm_co2e_100,capacity_mtpa
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000200224,L100000200198,MAV Elektrik power station,1,35,operating,2021,NA,bioenergy,NA,bioenergy: agricultural waste (syngas),NA,NA,FALSE,NA,MAV Elektrik Üretim Sanayi ve Ticaret AŞ [100%],40.405,30.7881,NA,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100000200829,L100000200728,Eyüp Kemerburgaz power station,1,85,operating,2017,NA,bioenergy,NA,bioenergy: refuse (municipal and industrial wastes),NA,NA,FALSE,İSTAÇ,Istanbul Metropolitan Municipality [100%],41.2245,28.8148,İstanbul,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100001055413,L100001048283,Adana (Omnia Nişasta) power station,--,24,announced,NA,NA,bioenergy,NA,"bioenergy: agricultural waste (solids), bioenergy: wood & other biomass (solids)",NA,NA,FALSE,NA,Omnia Nişasta Sanayi Ve Ticaret AŞ,37.1498004197978,35.5091878123548,NA,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100001055414,L100001048284,Adana Depolama power station,--,15.6,operating,NA,NA,bioenergy,NA,bioenergy: refuse (landfill gas),NA,NA,FALSE,NA,ITC Ltd,37.0513908,35.3959051,Adana,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100001055416,L100001048286,Bursa-Hamitler power station,--,9.8,operating,NA,NA,bioenergy,NA,bioenergy: refuse (landfill gas),NA,NA,FALSE,NA,NA,40.2612057,28.9793109274168,Bursa,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100001055418,L100001048288,Kömürcuoda power station,--,17,operating,NA,NA,bioenergy,NA,bioenergy: refuse (landfill gas),NA,NA,FALSE,NA,Ortadoğu Enerji Grubu,41.1458913,29.3775289,Istanbul,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100001055459,L100001048309,Mamak power station,--,17,operating,NA,NA,bioenergy,NA,bioenergy: refuse (landfill gas),NA,NA,FALSE,NA,ITC Ltd,39.8845569865676,32.93035184,Mamak,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100001055460,L100001048310,Odayeri power station,--,23,operating,NA,NA,bioenergy,NA,bioenergy: refuse (landfill gas),NA,NA,FALSE,NA,NA,41.2164669966757,28.8545983657777,Istanbul,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100001055469,L100001048315,Silivri Seymen power station,Seymen Depolama IC 1,37,operating,NA,NA,bioenergy,NA,bioenergy: refuse (landfill gas),NA,NA,FALSE,NA,Instanbul Energi AŞ,41.21909228,28.1561218062838,Istanbul,NA,NA,NA
Global Integrated Power Tracker,Global Integrated Power August 2026-v3.xlsx,power,G100001055470,L100001048315,Silivri Seymen power station,Future phases,53,announced,NA,NA,bioenergy,NA,bioenergy: refuse (landfill gas),NA,NA,FALSE,NA,Instanbul Energi AŞ,41.21909228,28.1561218062838,Istanbul,NA,NA,NA
