gem_id,name,country,cap_cement,cap_clinker,production,clinker_ratio,status,start_date,kiln_method,coordinates,gem_tracker,gem_source_file,lat,lon,start_year
P100000125735,AS Çimento Korkuteli Cement Plant,Türkiye,4.3,unknown,unknown,unknown,operating,2005,dry,"37.253526, 30.442730",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,37.253526,30.44273,2005
P100000125736,Arkoz Madencilik Enerji Sanayi Ve Ticaret Doğubayazıt Cement Plant,Türkiye,1.3,0.83,unknown,A,operating,42826,dry,"39.585165, 43.901166",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,39.585165,43.901166,NA
P100000125737,Askale Cimento Sanayi Gümüşhane Merkez Cement Plant,Türkiye,1.8,1.5,unknown,unknown,operating,1988,dry,"40.412480, 39.658071",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,40.41248,39.658071,1988
P100000125738,Safi Çimento Üretim San Tic Taşçılar Cement Plant,Türkiye,1.5,1.2,unknown,unknown,operating,2010,dry,"40.241962, 29.925373",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,40.241962,29.925373,2010
P100000125739,Askale Cimento Sanayi Aşkale Cement Plant,Türkiye,1.5,1.6,unknown,unknown,operating,1971,dry,"39.926231, 40.669025",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,39.926231,40.669025,1971
P100000125740,Askale Cimento Sanayi Edremit Cement Plant,Türkiye,0.6,1.3,unknown,unknown,operating,1969,dry,"38.417920, 43.237709",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,38.41792,43.237709,1969
P100000125741,Askale Cimento Sanayi Aydoğdu Cement Plant,Türkiye,unknown,N/A,unknown,unknown,operating,2009,N/A,"39.743006, 39.404250",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,39.743006,39.40425,2009
P100000125742,Batisoke Soke Cimento Sanayii Söke Cement Plant,Türkiye,3,2.8,unknown,A,operating,unknown,dry,"37.770579, 27.437337",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,37.770579,27.437337,NA
P100000125743,Batıçim Batı Anadolu Çimento Sanayii Bornova Cement Plant,Türkiye,2,unknown,unknown,unknown,operating,1966,dry,"38.456362, 27.263922",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,38.456362,27.263922,1966
P100000125744,BurCimento Fabrikasi Kestel Cement Plant,Türkiye,2.9,1.4,unknown,A,operating,1969,dry,"40.185986, 29.224790",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,40.185986,29.22479,1969
P100000125745,Kars Cimento Sanayi Ve Ticaret Bozkale Cement Plant,Türkiye,0.6,0.43,unknown,unknown,operating,1996,dry,"40.575669, 43.007643",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,40.575669,43.007643,1996
P100000125746,Çimentas Izmir Çimento Fabrikasi Türk Baskil Cement Plant,Türkiye,unknown,1,unknown,unknown,operating,1954,dry,"38.663862, 39.235352",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,38.663862,39.235352,1954
P100000125747,Çimentas Izmir Çimento Fabrikasi Türk Bornova Cement Plant,Türkiye,2.2999999999999998,2,unknown,unknown,operating,1953,dry,"38.427047, 27.217029",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,38.427047,27.217029,1953
P100000125748,Çimentas Izmir Çimento Fabrikasi Türk Lalapaşa Cement Plant,Türkiye,2.1,1,unknown,unknown,operating,unknown,dry,"41.797040, 26.702448",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,41.79704,26.702448,NA
P100000125749,Ferçim Çimento Fabrikası Melikgazi Cement Plant,Türkiye,1.1000000000000001,0.9,unknown,unknown,operating,1992,dry,"38.857400, 35.765596",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,38.8574,35.765596,1992
P100000125750,ÇimÇimento Sanayi ve Ticaret Tepebaşı Cement Plant,Türkiye,2.2000000000000002,0.77,unknown,unknown,operating,1957,dry,"39.837640, 30.299628",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,39.83764,30.299628,1957
P100000125751,ÇimÇimento Sanayi ve Ticaret Akdeniz Cement Plant,Türkiye,3,unknown,unknown,unknown,operating,1972,dry,"36.868839, 34.761953",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,36.868839,34.761953,1972
P100000125752,Ferçim Çimento Fabrikası Niğde Merkez Cement Plant,Türkiye,1.2,0.5,unknown,unknown,operating,1964,dry,"37.947507, 34.684355",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,37.947507,34.684355,1964
P100000125753,Ferçim Çimento Fabrikası Mamak Cement Plant,Türkiye,0.2,N/A,unknown,A,operating,2002-07,N/A,"39.964066, 33.134488",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,39.964066,33.134488,2002
P100000125754,Goltas Goller Bolgesi Cimento Sanayi ve Ticaret Gönen Cement Plant,Türkiye,5,3.2,2,unknown,operating,1969,dry,"37.899013, 30.492029",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,37.899013,30.492029,1969
P100000125816,AkçanÇimento Sanayi ve Ticaret Ladik Cement Plant,Türkiye,1,0.64,unknown,unknown,operating,1984,dry,"40.935634, 35.884591",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,40.935634,35.884591,1984
P100000125817,AkçanÇimento Sanayi ve Ticaret Büyükçekmece Cement Plant,Türkiye,2.5,1.9,unknown,unknown,operating,1967,dry,"41.021316, 28.556386",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,41.021316,28.556386,1967
P100000125818,AkçanÇimento Sanayi ve Ticaret Ezine Cement Plant,Türkiye,5.5,4.5,unknown,unknown,operating,1974,dry,"39.865142, 26.244503",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,39.865142,26.244503,1974
P100000125820,Askale Cimento Sanayi Kavak Cement Plant,Türkiye,1.5,1.1000000000000001,unknown,unknown,operating,42661,dry,"41.025718, 36.099433",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,41.025718,36.099433,NA
P100000125821,Kahramanmaraş Çimento Sanayi Pazarcık Cement Plant,Türkiye,4,3,unknown,0–5%,operating,2013,dry,"37.293693, 37.157274",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,37.293693,37.157274,2013
P100000125822,Limak Cimento Sanayi ve Ticaret Altıeylül Cement Plant,Türkiye,2.2999999999999998,1,unknown,unknown,operating,1958,dry,"39.607749, 27.878935",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,39.607749,27.878935,1958
P100000125823,Adocim Cimento Beton Sanayi ve Ticaret Antalya Cement Plant,Türkiye,0.6,N/A,unknown,unknown,operating,1996,N/A,"36.897873, 30.610509",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,36.897873,30.610509,1996
P100000125824,Limak Cimento Sanayi ve Ticaret Polatlı Cement Plant,Türkiye,1.8,1.44,unknown,unknown,operating,2018-04,dry,"39.597397, 32.419104",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,39.597397,32.419104,2018
P100000125825,Limak Cimento Sanayi ve Ticaret Pınarhisar Cement Plant,Türkiye,2.34,2.14,unknown,A,operating,1958,dry,"41.634894, 27.504800",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,41.634894,27.5048,1958
P100000125826,Limak Cimento Sanayi ve Ticaret Ergani Cement Plant,Türkiye,1.4,0.8,unknown,unknown,operating,1976,dry,"38.278508, 39.743449",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,38.278508,39.743449,1976
P100000125828,Limak Cimento Sanayi ve Ticaret Kurtalan Cement Plant,Türkiye,1.2,0.8,unknown,B,operating,1985,dry,"37.962052, 41.702529",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,37.962052,41.702529,1985
P100000125829,Limak Cimento Sanayi ve Ticaret Karaköprü Cement Plant,Türkiye,2.15,1.62,unknown,unknown,operating,1976,dry,"37.276316, 38.731672",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,37.276316,38.731672,1976
P100000125830,Limak Cimento Sanayi ve Ticaret Derik Cement Plant,Türkiye,0.8,N/A,unknown,A,operating,40178,N/A,"37.289736, 40.269673",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,37.289736,40.269673,NA
P100000125925,ATIÇİM Batı Anadolu Çimento Sanayii Aliağa Cement Plant,Türkiye,2.2000000000000002,unknown,N/A,unknown,announced,unknown,unknown,"38.422246, 27.160577",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,38.422246,27.160577,NA
P100000126101,Limak Cimento Sanayi ve Ticaret Bitlis Merkez Cement Plant,Türkiye,1,N/A,unknown,A,operating,2008,N/A,"38.500626, 42.174212",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,38.500626,42.174212,2008
P100000126102,Limak Cimento Sanayi ve Ticaret Kilis Merkez Cement Plant,Türkiye,2.2599999999999998,1.83,unknown,unknown,operating,2019,dry,"36.799370, 37.020293",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,36.79937,37.020293,2019
P100000126103,Medcem Madencilik ve Yapı Malzemeleri Sanayi Ve Ticaret Silifke Cement Plant,Türkiye,8,6.6,unknown,0–5%,operating,2015,dry,"36.264312, 33.729843",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,36.264312,33.729843,2015
P100000126104,Nuh Çimento Sanayi Körfez Cement Plant,Türkiye,5.7,4.4000000000000004,unknown,unknown,operating,1969,dry,"40.781692, 29.601777",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,40.781692,29.601777,1969
P100000126105,Adana Cimento Sanayii Yüreğir Cement Plant,Türkiye,3.5,3,unknown,unknown,operating,1957,dry,"36.964373, 35.451695",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,36.964373,35.451695,1957
P100000126106,Aslan Cimento Darıca Cement Plant,Türkiye,3.3,1.8,unknown,B,operating,1911,dry,"40.758920, 29.361452",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,40.75892,29.361452,1911
P100000126107,Bolu Çimento Sanayii Bolu Merkez Cement Plant,Türkiye,3.5,unknown,unknown,unknown,operating,1974,dry,"40.756508, 31.783672",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,40.756508,31.783672,1974
P100000126108,Bolu Çimento Sanayii Kahramankazan Cement Plant,Türkiye,2.6,1.4,unknown,unknown,operating,2015,dry,"40.048860, 32.650947",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,40.04886,32.650947,2015
P100000126109,OYAK Çimento Fabrikaları Belevi Cement Plant,Türkiye,3,1.7,unknown,A,operating,1987,dry,"37.862301, 29.372440",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,37.862301,29.37244,1987
P100000126110,Mardin Cimento Artuklu Cement Plant,Türkiye,2.7,1.9,unknown,0–5%,operating,1975,dry,"37.338186, 40.802231",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,37.338186,40.802231,1975
P100000126111,Unye Cimento Sanayi ve Ticaret Ünye Cement Plant,Türkiye,2.8,1.6,unknown,A,operating,1974,dry,"41.107528, 37.324142",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,41.107528,37.324142,1974
P100000126112,Adana Cimento Sanayii İskenderun I Cement Plant,Türkiye,1,N/A,unknown,unknown,operating,2007,N/A,"36.720265, 36.228301",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,36.720265,36.228301,2007
P100000126113,Bolu Çimento Sanayii Ereğli Cement Plant,Türkiye,0.9,N/A,unknown,unknown,operating,40571,N/A,"41.203344, 31.449878",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,41.203344,31.449877999999998,NA
P100000126114,SYCS Insaat ve Cimento Baskil Cement Plant,Türkiye,3,2,unknown,unknown,operating,1954,dry,"38.454928, 38.727638",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,38.454928,38.727638,1954
P100000126115,Cimko Cimento ve Beton Sanayi ve Ticaret Bartın Merkez Cement Plant,Türkiye,2.5,unknown,unknown,unknown,operating,1962,dry,"41.639958, 32.307311",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,41.639958,32.307311,1962
P100000126116,Cimko Cimento ve Beton Sanayi ve Ticaret Adıyaman Merkez Cement Plant,Türkiye,1.6,0.7,unknown,unknown,operating,1995,dry,"37.694944, 38.086389",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,37.694944,38.086389,1995
P100000126117,Cimko Cimento ve Beton Sanayi ve Ticaret Pazarcık Cement Plant,Türkiye,4.7,2.7,unknown,unknown,operating,2008,dry,"37.351009, 37.162784",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,37.351009,37.162784,2008
P100000126118,Cimko Cimento ve Beton Sanayi ve Ticaret Ereğli Cement Plant,Türkiye,0.22,N/A,unknown,unknown,operating,1996,N/A,"41.318865, 31.428304",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,41.318865,31.428304,1996
P100000126119,Soma Çimento Madencilik Beton Sanayi ve Ticaret Soma Cement Plant,Türkiye,2,1.5,unknown,0–5%,operating,43349,dry,"39.182334, 27.498992",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,39.182334,27.498992,NA
P100000126120,Sonmez Cimento ve Madencilik Insaat Sanayi Ticaret Sarımazı Cement Plant,Türkiye,2.16,2,unknown,unknown,operating,2014-09,dry,"36.932588, 36.002140",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,36.932588,36.00214,2014
P100000126121,Adocim Cimento Beton Sanayi ve Ticaret Artova Cement Plant,Türkiye,1.8,1.3,unknown,0–5%,operating,2008,dry,"40.104577, 36.293380",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,40.104577,36.29338,2008
P100000126122,Adocim Cimento Beton Sanayi ve Ticaret Marmaraereğlisi Cement Plant,Türkiye,0.6,N/A,unknown,unknown,operating,2006,N/A,"41.015432, 27.969977",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,41.015432,27.969977,2006
P100000126123,Titan Group Evrencik Cement Plant,Türkiye,2.5,2,unknown,unknown,operating,2008,dry,"41.630907, 27.686888",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,41.630907,27.686888,2008
P100000126124,Bastas Baskent Cimento Sanayi ve Ticaret Elmadağ Cement Plant,Türkiye,2.6,1.5,unknown,unknown,operating,unknown,dry,"39.944254, 33.191786",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,39.944254,33.191786,NA
P100000126125,Konya Çimento Sanayi Selçuklu Cement Plant,Türkiye,3,1.7,unknown,0–5%,operating,1963,dry,"37.938962, 32.533761",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,37.938962,32.533761,1963
P100000126126,Votorantim Çimento Sanayi Ve Ticaret Elmadağ Cement Plant,Türkiye,1,1.02,unknown,unknown,operating,1992,dry,"39.960456, 33.144332",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,39.960456,33.144332,1992
P100000126127,Yibitas Yozgat Isci Birligi Insaat Malzemeleri Ticaret Sanayi Saray Cement Plant,Türkiye,1.66,0.88,unknown,unknown,operating,1976,dry,"39.695940, 34.674394",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,39.69594,34.674394,1976
P100000126128,Votorantim Çimento Sanayi Ve Ticaret Sivas Merkez Cement Plant,Türkiye,1.8,1.6,unknown,unknown,operating,42922,dry,"39.722346, 36.938372",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,39.722346,36.938372,NA
P100000126129,Votorantim Çimento Sanayi Ve Ticaret Neveshir Cement Plant,Türkiye,unknown,N/A,unknown,unknown,operating,1992,N/A,"38.956061, 35.036251",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,38.956061,35.036251,1992
P100000126130,Votorantim Çimento Sanayi Ve Ticaret İlkadım Cement Plant,Türkiye,unknown,N/A,unknown,unknown,operating,1995,N/A,"41.294214, 36.257755",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,41.294214,36.257755,1995
P100000126131,Yurt Cimento Sanayi ve Ticaret Erkan Cement Plant,Türkiye,1.98,0.92,unknown,unknown,operating,2008,dry,"38.892444, 41.568589",Global Cement and Concrete Tracker,Plant-level data - Global Cement and Concrete Tracker - July 2026 - Standard Copy V1.xlsx,38.892444,41.568589,2008
