gem_id,name,country,equipment,status,start_date,cap_crude,cap_bof,cap_eaf,cap_bf,cap_dri,gem_tracker,gem_source_file,start_year
P100000120882,Aba Iron and Steel Payas plant,Türkiye,EAF,operating,1983.0,1100.0,N/A,1100.0,N/A,N/A,Global Iron and Steel Tracker,Plant-level_data_Global_Iron_and_Steel_Tracker_June_2026_V1.xlsx,1983
P100000120886,Toscelik Iskenderun steel plant,Türkiye,EAF,operating,2023.0,4000.0,N/A,4000.0,N/A,N/A,Global Iron and Steel Tracker,Plant-level_data_Global_Iron_and_Steel_Tracker_June_2026_V1.xlsx,2023
P100000120891,Asil Celik Orhangazi steel plant,Türkiye,EAF,operating,1979.0,730.0,N/A,730.0,N/A,N/A,Global Iron and Steel Tracker,Plant-level_data_Global_Iron_and_Steel_Tracker_June_2026_V1.xlsx,1979
P100001047724,Cag Celik steel plant,Türkiye,EAF,announced,unknown,1000.0,N/A,1000.0,N/A,N/A,Global Iron and Steel Tracker,Plant-level_data_Global_Iron_and_Steel_Tracker_June_2026_V1.xlsx,NA
P100000120892,Cebitas steel plant,Türkiye,EAF,operating,1989.0,860.0,N/A,860.0,N/A,N/A,Global Iron and Steel Tracker,Plant-level_data_Global_Iron_and_Steel_Tracker_June_2026_V1.xlsx,1989
P100000120867,Colakoglu Metallurgical Dilovasi steel plant,Türkiye,EAF,operating,1969.0,4500.0,N/A,4500.0,N/A,N/A,Global Iron and Steel Tracker,Plant-level_data_Global_Iron_and_Steel_Tracker_June_2026_V1.xlsx,1969
P100000120868,Diler Iron and Steel Dilovasi plant,Türkiye,EAF,operating,1984.0,1300.0,N/A,1300.0,N/A,N/A,Global Iron and Steel Tracker,Plant-level_data_Global_Iron_and_Steel_Tracker_June_2026_V1.xlsx,1984
P100000120869,Ege Steel Aliaga plant,Türkiye,EAF,operating,2001.0,1200.0,N/A,1200.0,N/A,N/A,Global Iron and Steel Tracker,Plant-level_data_Global_Iron_and_Steel_Tracker_June_2026_V1.xlsx,2001
P100000120869,Ege Steel Aliaga plant,Türkiye,EAF,mothballed,2001.0,800.0,N/A,800.0,N/A,N/A,Global Iron and Steel Tracker,Plant-level_data_Global_Iron_and_Steel_Tracker_June_2026_V1.xlsx,2001
P100000120870,Ekinciler Iron and Steel Iskenderun plant,Türkiye,EAF,operating,1989.0,1250.0,N/A,1250.0,N/A,N/A,Global Iron and Steel Tracker,Plant-level_data_Global_Iron_and_Steel_Tracker_June_2026_V1.xlsx,1989
