year,total_twh,ember_g_per_kwh,ember_emissions_mt,renewable_twh,renewable_share,ct_reported_g_per_kwh,ct_naive_g_per_kwh,ct_covered_twh,ct_coverage_share,ember_vs_ct_pct
2000,124.38,574.13,71.41,30.99,0.24915581283164495,NA,NA,NA,NA,NA
2001,122.24000000000001,605.29,73.99,24.16,0.19764397905759162,NA,NA,NA,NA,NA
2002,128.46,536.43,68.91,33.83,0.26335045928693757,NA,NA,NA,NA,NA
2003,139.54,524.8,73.23,35.48,0.2542640103196216,NA,NA,NA,NA,NA
2004,149.75,494.22,74.01,46.23,0.3087145242070117,NA,NA,NA,NA,NA
2005,161.63,543.59,87.86,39.71,0.2456845882571305,NA,NA,NA,NA,NA
2006,176.25,537.48,94.73,44.46,0.2522553191489362,NA,NA,NA,NA,NA
2007,191.52,577.8,110.66,36.370000000000005,0.18990183792815374,NA,NA,NA,NA,NA
2008,198.37,593.54,117.74,34.28,0.17280838836517617,NA,NA,NA,NA,NA
2009,194.81,577.18,112.44,37.9,0.1945485344694831,NA,NA,NA,NA,NA
2010,211.18,525.29,110.93,55.39,0.26228809546358556,NA,NA,NA,NA,NA
2011,229.39,541.17,124.14,57.75,0.251754653646628,NA,NA,NA,NA,NA
2012,239.49,527.96,126.44,64.62,0.2698233746711763,NA,NA,NA,NA,NA
2013,240.15,510.14,122.51,68.34,0.28457214241099316,NA,NA,NA,NA,NA
2014,251.95000000000002,567.45,142.97,51.54,0.20456439769795592,NA,NA,NA,NA,NA
2015,261.77,504.91,132.17,82.41000000000001,0.3148183519883868,NA,NA,NA,NA,NA
2016,274.4,523.43,143.63,88.61,0.32292274052478137,NA,NA,NA,NA,NA
2017,297.29,535.13,159.09,85.14,0.286387029499815,NA,NA,NA,NA,NA
2018,300.15,542.76,162.91,94.32,0.31424287856071964,NA,NA,NA,NA,NA
2019,300.18,489.61,146.97,128.07,0.42664401359184484,NA,NA,NA,NA,NA
2020,302,483.58,146.04,122.99,0.40725165562913906,NA,NA,NA,NA,NA
2021,327.88,501.8,164.53,109.92,0.33524460168354275,508.46000000000004,664.0818000399717,196.7968965,0.6002101271806759,1.3272220007971354
2022,320.56,489.18,156.81,126.72999999999999,0.39533940603943096,501.44999999999993,724.7704499074672,180.6862809,0.563658225917145,2.5082791610449986
2023,319.79,494.89,158.26,126.13,0.39441508489946525,488.53000000000003,737.0539943014352,178.4399454,0.5579910109759529,-1.285134070197409
2024,341.22999999999996,470.83,160.66,146.97,0.4307065615567213,476.81999999999994,747.61742443515,177.2301606,0.5193862221961727,1.2722213962576625
2025,353.86,475.73,168.34,144.59,0.40860792403775503,491.01,718.6534945219997,188.45863469999998,0.5325796492963318,3.2119059130178824
