subsector,slot,definition,year,facilities,annual_total
aluminum,other1,total emissions factor. Aluminium: anode Consumption emissions + anode Production Emissions + Electrolysis Electricity Emissions. Alumina: Refining direct emissions + electricity use emissions,2021,3,229.72166162853608
aluminum,other1,total emissions factor. Aluminium: anode Consumption emissions + anode Production Emissions + Electrolysis Electricity Emissions. Alumina: Refining direct emissions + electricity use emissions,2022,3,229.0191250883086
aluminum,other1,total emissions factor. Aluminium: anode Consumption emissions + anode Production Emissions + Electrolysis Electricity Emissions. Alumina: Refining direct emissions + electricity use emissions,2023,3,230.1082622224477
aluminum,other1,total emissions factor. Aluminium: anode Consumption emissions + anode Production Emissions + Electrolysis Electricity Emissions. Alumina: Refining direct emissions + electricity use emissions,2024,3,228.34247446
aluminum,other1,total emissions factor. Aluminium: anode Consumption emissions + anode Production Emissions + Electrolysis Electricity Emissions. Alumina: Refining direct emissions + electricity use emissions,2025,3,229.000672705
aluminum,other1,total emissions factor. Aluminium: anode Consumption emissions + anode Production Emissions + Electrolysis Electricity Emissions. Alumina: Refining direct emissions + electricity use emissions,2026,3,95.83315911
aluminum,other10,field_not_included,2021,3,0
aluminum,other10,field_not_included,2022,3,0
aluminum,other10,field_not_included,2023,3,0
aluminum,other10,field_not_included,2024,3,0
aluminum,other10,field_not_included,2025,3,0
aluminum,other10,field_not_included,2026,3,0
aluminum,other2,total emissions,2021,3,1085363.187941933
aluminum,other2,total emissions,2022,3,1071336.1240314702
aluminum,other2,total emissions,2023,3,1073586.63507714
aluminum,other2,total emissions,2024,3,1047464.6540033903
aluminum,other2,total emissions,2025,3,1051793.5210014703
aluminum,other2,total emissions,2026,3,404759.75483232416
aluminum,other3,electricity_use_factor,2021,3,353.63452586333847
aluminum,other3,electricity_use_factor,2022,3,356.85006405473376
aluminum,other3,electricity_use_factor,2023,3,355.16912886064125
aluminum,other3,electricity_use_factor,2024,3,354.108
aluminum,other3,electricity_use_factor,2025,3,354.108
aluminum,other3,electricity_use_factor,2026,3,147.545
