asset_class,sector,gas_basis,year,facilities,months_covered,value_type,emissions_t
energy,coal-mining,co2e_100yr,2021,38,12,observed,9192480.227849076
energy,coal-mining,co2e_100yr,2022,38,12,observed,9825506.94721964
energy,coal-mining,co2e_100yr,2023,38,12,observed,8212153.340066954
energy,coal-mining,co2e_100yr,2024,38,12,observed,7964870.326757579
energy,coal-mining,co2e_100yr,2025,38,12,projected,7964870.326757579
energy,coal-mining,co2e_100yr,2026,38,6,projected,3982435.1633787896
energy,electricity-generation,co2e_100yr,2021,157,12,observed,154415019.1
energy,electricity-generation,co2e_100yr,2022,157,12,observed,148974963
energy,electricity-generation,co2e_100yr,2023,157,12,observed,151134357.8
energy,electricity-generation,co2e_100yr,2024,157,12,observed,152428819.4
energy,electricity-generation,co2e_100yr,2025,157,12,projected,157890565.3
energy,electricity-generation,co2e_100yr,2026,157,6,projected,61360961.2
energy,oil-and-gas-production,co2e_100yr,2021,6,12,observed,1892827.7951558637
energy,oil-and-gas-production,co2e_100yr,2022,6,12,observed,2070027.6359717273
energy,oil-and-gas-production,co2e_100yr,2023,6,12,observed,2452186.676952834
energy,oil-and-gas-production,co2e_100yr,2024,6,12,observed,2342576.270078835
energy,oil-and-gas-production,co2e_100yr,2025,6,12,projected,3394629.0986023275
energy,oil-and-gas-production,co2e_100yr,2026,6,6,projected,1724471.5820899825
energy,oil-and-gas-refining,co2e_100yr,2021,5,12,observed,9171335.11792744
energy,oil-and-gas-refining,co2e_100yr,2022,5,12,observed,9672896.837244209
energy,oil-and-gas-refining,co2e_100yr,2023,5,12,observed,9879844.93244729
energy,oil-and-gas-refining,co2e_100yr,2024,5,12,observed,9081910.438356878
energy,oil-and-gas-refining,co2e_100yr,2025,5,12,projected,9648287.310996847
energy,oil-and-gas-refining,co2e_100yr,2026,5,6,projected,5020962.9371950375
energy,oil-and-gas-transport,co2e_100yr,2021,6,12,observed,206117.85463071446
energy,oil-and-gas-transport,co2e_100yr,2022,6,12,observed,227652.68868899526
energy,oil-and-gas-transport,co2e_100yr,2023,6,12,observed,299589.0618795945
energy,oil-and-gas-transport,co2e_100yr,2024,6,12,observed,597295.2182946869
energy,oil-and-gas-transport,co2e_100yr,2025,6,12,projected,934871.6541203001
energy,oil-and-gas-transport,co2e_100yr,2026,6,6,projected,474914.8002931124
industrial,aluminum,co2,2021,3,12,observed,869363.4127508235
industrial,aluminum,co2,2022,3,12,observed,848520.367204406
industrial,aluminum,co2,2023,3,12,observed,852950.9913527346
industrial,aluminum,co2,2024,3,12,observed,853335.5957035797
industrial,aluminum,co2,2025,3,12,projected,852124.479294805
industrial,aluminum,co2,2026,3,5,projected,327964.67820290243
industrial,cement,co2,2021,58,12,observed,37863208.39926838
industrial,cement,co2,2022,58,12,observed,48179752.54938306
industrial,cement,co2,2023,58,12,observed,49985987.20063481
industrial,cement,co2,2024,58,12,observed,48357065.465467535
industrial,cement,co2,2025,58,12,projected,45719166.622514464
industrial,cement,co2,2026,58,5,projected,21579807.95826555
industrial,iron-and-steel,co2,2021,27,12,observed,27215811.861561175
industrial,iron-and-steel,co2,2022,27,12,observed,23711805.10227798
industrial,iron-and-steel,co2,2023,27,12,observed,22706204.068254083
industrial,iron-and-steel,co2,2024,27,12,observed,25656158.57502883
industrial,iron-and-steel,co2,2025,27,12,projected,25303850.94261972
industrial,iron-and-steel,co2,2026,27,5,projected,10313381.11690457
